index1,index2,mag,dist
TYC 5992-1080-2,-22°4767,11.0,12.05
TYC 6292-821-2,-22°13233,11.2,2.56
TYC 6413-769-2,-23°111,9.1,36.64
TYC 6421-2090-1,-26°164,9.7,17.03
TYC 6467-2806-1,-25°1903,9.5,10.99
TYC 6537-1258-1,-22°4399,10.9,23.65
TYC 6540-366-1,-22°5006,11.8,48.67
TYC 6544-1689-1,-24°5902,11.5,25.24
TYC 6554-1559-1,-23°6685,11.6,16.43
TYC 6596-983-1,-27°6566,10.9,32.51
TYC 6619-1594-1,-23°9206,9.6,25.50
TYC 6760-975-1,-28°11059,10.5,35.16
TYC 6842-270-3,-23°13804,10.4,18.75
TYC 6845-138-1,-24°13715,11.1,20.13
TYC 7037-1503-1,-30°1719,9.6,34.42
TYC 7104-1447-1,-31°4528,11.2,43.19
TYC 7140-493-1,-31°6316,10.5,53.72
TYC 7140-3510-1,-31°6316,10.9,17.24
TYC 7170-1609-1,-31°7979,11.5,24.30
TYC 7298-1837-1,-30°11870,9.2,13.30
TYC 7378-3134-1,-30°14802,8.1,32.43
TYC 6525-270-1,-24°4463,10.5,42.31
TYC 6552-434-1,-28°4838,10.8,46.21
TYC 6594-2642-1,-26°6731,11.9,42.56
TYC 6677-627-1,-29°9369,11.3,42.45
TYC 5845-274-1,-22°73,12.6,30.91
TYC 5845-339-1,-22°73,11.5,24.30
TYC 5854-1841-1,-22°473,12.1,24.09
TYC 5879-144-1,-22°1201,10.6,14.97
TYC 5880-418-1,-22°1274,11.1,38.74
TYC 5880-423-1,-22°1274,11.0,55.05
TYC 5898-570-1,-22°1783,10.7,30.61
TYC 5928-540-1,-22°2279,11.2,21.72
TYC 5929-422-1,-22°2369,11.8,31.97
TYC 5929-444-1,-22°2369,10.3,20.07
TYC 5975-211-1,-22°3944,8.7,18.95
TYC 5975-2583-1,-22°3915,11.3,25.36
TYC 5976-58-1,-22°4104,11.4,37.64
TYC 5976-550-1,-22°4044,11.4,14.89
TYC 5976-782-1,-22°3944,10.3,32.45
TYC 5976-1222-1,-22°3969,11.6,44.54
TYC 5976-3624-1,-22°4104,11.6,46.42
TYC 5977-712-1,-22°4325,10.6,10.64
TYC 5978-174-1,-22°4369,12.2,37.70
TYC 5978-181-1,-22°4476,11.4,16.08
TYC 5978-803-1,-22°4369,10.4,7.12
TYC 5991-447-1,-22°4695,11.2,57.38
TYC 5992-1080-1,-22°4767,7.7,9.38
TYC 6010-9-1,-22°6179,9.7,12.32
TYC 6230-86-1,-22°11643,11.9,48.30
TYC 6230-334-1,-22°11643,10.4,18.60
TYC 6260-1537-1,-22°12163,10.7,16.03
TYC 6260-2025-1,-22°12145,10.2,13.20
TYC 6262-691-1,-22°12400,10.1,22.58
TYC 6262-1013-1,-22°12348,11.7,27.46
TYC 6276-399-1,-22°12747,10.9,31.51
TYC 6276-467-1,-22°12724,10.2,31.75
TYC 6276-717-1,-22°12714,11.6,6.48
TYC 6276-760-1,-22°12714,10.3,29.99
TYC 6276-1962-1,-22°12766,11.1,57.62
TYC 6276-2519-1,-22°12766,10.0,25.64
TYC 6277-213-1,-22°12803,10.8,53.50
TYC 6277-285-1,-22°12803,11.5,26.86
TYC 6277-367-1,-22°12803,10.5,16.51
TYC 6277-571-1,-22°12817,10.9,8.23
TYC 6277-674-1,-22°12901,10.7,10.15
TYC 6277-1044-1,-22°12817,10.4,30.73
TYC 6292-821-1,-22°13233,7.8,3.45
TYC 6293-212-1,-22°13350,8.9,18.75
TYC 6293-212-2,-22°13350,9.2,15.08
TYC 6293-368-1,-22°13324,10.9,30.24
TYC 6293-395-1,-22°13324,11.0,23.13
TYC 6293-588-1,-22°13385,11.0,17.75
TYC 6294-1524-1,-22°13524,9.3,22.85
TYC 6294-1542-1,-22°13524,10.9,28.82
TYC 6308-282-1,-22°13782,9.0,30.52
TYC 6310-689-1,-22°14058,11.2,56.24
TYC 6324-752-1,-22°14254,10.6,7.90
TYC 6325-1394-1,-22°14390,8.2,19.04
TYC 6325-1847-1,-22°14390,10.7,23.03
TYC 6326-1330-1,-22°14446,11.5,5.53
TYC 6326-1489-1,-22°14421,11.8,35.50
TYC 6326-1540-1,-22°14421,11.5,3.26
TYC 6327-1178-1,-22°14575,11.4,56.34
TYC 6327-1453-1,-22°14552,11.5,20.35
TYC 6327-1536-1,-22°14552,10.1,25.51
TYC 6340-338-1,-22°14620,11.5,23.05
TYC 6340-344-1,-22°14620,11.4,19.08
TYC 6341-101-1,-22°14714,10.5,19.58
TYC 6357-511-1,-22°15097,11.1,41.17
TYC 6358-742-1,-22°15251,11.3,27.10
TYC 6359-223-1,-22°15263,11.7,36.31
TYC 6372-102-1,-22°15347,9.6,10.59
TYC 6372-363-1,-22°15347,11.0,29.46
TYC 6372-488-1,-22°15349,11.8,1.28
TYC 6382-768-1,-22°15632,12.1,17.00
TYC 6382-1035-1,-23°17189,10.9,27.06
TYC 6382-1487-1,-23°17189,10.3,36.43
TYC 6382-1571-1,-22°15677,11.5,18.45
TYC 6383-513-1,-22°15732,12.5,19.46
