name,x,y,z
G 59,0.398697499848,0.013304214532,-0.916985987620
G 131,0.344183758518,0.021812349133,-0.938648902305
G 211,0.338771727461,0.031516929262,-0.940340576516
G 245,0.081474072428,0.008670816360,-0.996637743850
G 260,0.356722812668,0.041208235450,-0.933300978385
G 383,0.327226042185,0.056361091205,-0.943263772608
G 432,0.353396188826,0.069354616466,-0.932899282291
G 487,0.339209707824,0.076067426722,-0.937630268661
G 494,0.107103950867,0.023892625448,-0.993960706546
G 516,0.076544500465,0.017675295792,-0.996909486045
G 550,0.334225428444,0.085176066606,-0.938636458198
G 797,0.078479711194,0.030023864432,-0.996463497824
G 1087,0.285630065488,0.158403418991,-0.945158093941
G 1109,0.343192029315,0.194336702429,-0.918940954090
G 1134,0.307517136961,0.177676607258,-0.934807056942
G 1144,0.168170819403,0.097496523474,-0.980924565607
G 1185,0.096182579816,0.057415394211,-0.993706387142
G 1193,0.077629670658,0.046471174503,-0.995898621434
G 1221,0.338396204835,0.214525204541,-0.916224287590
G 1265,0.074830360902,0.048022997526,-0.996039260670
G 1289,0.044242103239,0.028396772916,-0.998617173690
G 1294,0.083781467120,0.055505209091,-0.994937102299
G 1298,0.062863550504,0.041503115480,-0.997158796493
G 1336,0.085361180043,0.059089044660,-0.994596377302
G 1442,0.315505919883,0.244103577419,-0.916989344546
G 1749,0.068096670482,0.068505318119,-0.995323999941
G 1901,0.255956770596,0.300830540928,-0.918687714749
G 2121,0.181805599212,0.261600370322,-0.947898713124
G 2286,0.183193096360,0.312981978636,-0.931924122714
G 2351,0.159518270329,0.300421860028,-0.940372600328
G 2495,0.099595080511,0.215511397233,-0.971409109284
G 2567,0.018886910099,0.039815821199,-0.999028520618
G 2602,0.084875432421,0.209184241482,-0.974185872453
G 2748,0.117906404016,0.359591305418,-0.925630689292
G 3190,0.061155988899,0.423439778869,-0.903857676127
G 3476,0.025021791680,0.457491814049,-0.888861715915
G 3483,0.014283361028,0.242401502110,-0.970070872345
G 3502,0.014287399283,0.265517057770,-0.964000291626
G 3789,-0.008338972280,0.279144226176,-0.960212977695
G 3956,-0.023847816194,0.284742717613,-0.958307292276
G 4346,-0.090701260049,0.439968759304,-0.893420825962
G 4386,-0.049226703036,0.227311220270,-0.972577164470
G 4892,-0.152327518626,0.373221206128,-0.915151494762
G 5240,-0.221434919594,0.398811591953,-0.889896561690
G 5297,-0.176964562750,0.305908926073,-0.935469546527
G 5423,-0.135657895560,0.209171324019,-0.968423612156
G 6130,-0.187626552811,0.163380987634,-0.968557137994
G 6157,-0.351609410429,0.298945356929,-0.887131611469
G 7178,-0.204548830152,0.081531773878,-0.975454943056
G 8169,-0.349609847714,0.023289050600,-0.936605880028
G 8651,-0.301716621012,-0.031015111695,-0.952893038830
G 8702,-0.391952425411,-0.048534036897,-0.918704383073
G 8733,-0.398785196745,-0.053610525975,-0.915475984591
G 8753,-0.294712584505,-0.041229041154,-0.954696108036
G 8876,-0.055146017987,-0.010656839703,-0.998421428290
G 8894,-0.275431285102,-0.053404725717,-0.959836206057
G 8970,-0.380237598865,-0.084453479279,-0.921024960708
G 9003,-0.226992115230,-0.053579741578,-0.972421611708
G 9073,-0.386722010016,-0.100496753190,-0.916704145058
G 9192,-0.106915770452,-0.033470622181,-0.993704551403
G 9591,-0.286097746872,-0.134038218359,-0.948779128804
G 10011,-0.280369848739,-0.184420870995,-0.942009389688
G 11986,-0.127280864726,-0.322745279569,-0.937888621314
G 12403,-0.057964509132,-0.236623011846,-0.969870953244
G 13514,0.072569007158,-0.403086337674,-0.912280189186
G 13744,0.092543431902,-0.323896431756,-0.941555529275
G 14173,0.088867638413,-0.188064700036,-0.978127911596
G 14411,0.191704968282,-0.326373763667,-0.925596765080
G 14633,0.064436122495,-0.087535678030,-0.994075193931
G 15480,0.289716854756,-0.187818926859,-0.938503167168
G 16457,0.376354218957,-0.047604057217,-0.925252049774
G 16609,0.361893148036,-0.020788137341,-0.931987769636
G 16612,0.123809736490,-0.006904448682,-0.992281954758
