index1,index2,mag,dist
T 1,PPM 181899,7.0,5.32
T 2,PPM 25054,2.5,1.86
T 3,PPM 116172,6.0,1.87
T 4,PPM 329972,7.0,4.20
T 5,PPM 242561,6.0,2.29
T 6,PPM 304618,4.0,2.39
T 7,PPM 181921,7.0,1.41
T 8,PPM 116192,6.0,1.17
T 9,PPM 304626,7.5,8.88
T 10,PPM 42645,5.0,1.76
T 11,PPM 181928,6.5,3.36
T 12,PPM 89472,7.5,2.55
T 13,PPM 208437,9.0,4.26
T 14,PPM 181949,0.0,2.85
T 15,PPM 208457,6.0,4.66
T 16,PPM 242592,5.5,2.88
T 17,PPM 275790,6.0,5.20
T 18,PPM 89495,7.5,0.69
T 19,PPM 304655,7.0,2.99
T 20,PPM 330019,7.5,6.06
T 21,PPM 116243,2.5,1.65
T 22,PPM 181987,8.0,3.23
T 23,PPM 275815,8.0,1.96
T 24,PPM 42707,6.5,1.16
T 25,PPM 304679,7.0,6.66
T 26,PPM 330048,8.0,5.25
T 27,PPM 42726,8.0,3.40
T 28,PPM 89542,6.0,2.32
T 29,PPM 208536,5.5,4.77
T 30,PPM 143293,6.0,4.58
T 31,PPM 143294,8.5,9.58
T 32,PPM 65129,7.5,3.64
T 33,PPM 275835,7.5,4.08
T 34,PPM 89554,7.5,1.17
T 35,PPM 182030,7.5,4.41
T 36,PPM 143313,7.5,2.38
T 37,PPM 275854,7.0,3.36
T 38,PPM 143320,6.5,2.79
T 39,PPM 12067,7.0,3.60
T 40,PPM 143321,7.5,1.69
T 41,PPM 116289,7.0,5.98
T 42,PPM 275867,7.0,8.21
T 43,PPM 65154,5.0,1.09
T 44,PPM 208598,8.5,6.03
T 45,PPM 143338,7.0,3.02
T 46,PPM 208610,7.0,1.88
T 47,PPM 116312,7.5,4.40
T 48,PPM 143346,6.5,4.41
T 49,PPM 174697,7.5,2.30
T 50,PPM 65183,6.0,2.55
T 51,PPM 182095,7.5,1.86
T 53,PPM 275891,7.0,7.59
T 52,PPM 42805,7.0,3.45
T 54,PPM 65189,7.5,1.48
T 55,PPM 208636,8.0,3.52
T 56,PPM 304767,6.0,2.92
T 57,PPM 89634,8.0,2.28
T 58,PPM 182115,4.0,2.25
T 59,PPM 116347,6.0,4.04
T 60,PPM 351761,5.0,3.86
T 61,PPM 208662,7.5,4.90
T 62,PPM 143399,5.5,3.08
T 63,PPM 65222,6.0,1.50
T 64,PPM 275926,7.5,6.46
T 65,PPM 65229,7.5,2.94
T 66,PPM 275935,7.5,2.19
